Year-Month,Temperature (Celsius),Precipitation (mm)
2009-01,27,9
2009-02,28,29
2009-03,30,30
2009-04,31,65
2009-05,30,220
2009-06,30,149
2009-07,30,155
2009-08,30,197
2009-09,29,344
2009-10,29,242
2009-11,28,48
2009-12,26,10
2010-01,27,9
2010-02,28,29
2010-03,30,30
2010-04,31,65
2010-05,30,220
2010-06,30,149
2010-07,30,155
2010-08,30,197
2010-09,29,344
2010-10,29,242
2010-11,28,48
2010-12,26,10
2011-01,27,9
2011-02,28,29
2011-03,30,30
2011-04,31,65
2011-05,30,220
2011-06,30,149
2011-07,30,155
2011-08,30,197
2011-09,29,344
2011-10,29,242
2011-11,28,48
2011-12,26,10
2012-01,27,9
2012-02,28,29
2012-03,30,30
2012-04,31,65
2012-05,30,220
2012-06,30,149
2012-07,30,155
2012-08,30,197
2012-09,29,344
2012-10,29,242
2012-11,28,48
2012-12,26,10
2013-01,27,9
2013-02,28,29
2013-03,30,30
2013-04,31,65
2013-05,30,220
2013-06,30,149
2013-07,30,155
2013-08,30,197
2013-09,29,344
2013-10,29,242
2013-11,28,48
2013-12,26,10
2014-01,27,9
2014-02,28,29
2014-03,30,30
2014-04,31,65
2014-05,30,220
2014-06,30,149
2014-07,30,155
2014-08,30,197
2014-09,29,344
2014-10,29,242
2014-11,28,48
2014-12,26,10
2015-01,27,9
2015-02,28,29
2015-03,30,30
2015-04,31,65
2015-05,30,220
2015-06,30,149
2015-07,30,155
2015-08,30,197
2015-09,29,344
2015-10,29,242
2015-11,28,48
2015-12,26,10
2016-01,27,9
2016-02,28,29
2016-03,30,30
2016-04,31,65
2016-05,30,220
2016-06,30,149
2016-07,30,155
2016-08,30,197
2016-09,29,344
2016-10,29,242
2016-11,28,48
2016-12,26,10
2017-01,27,9
2017-02,28,29
2017-03,30,30
2017-04,31,65
2017-05,30,220
2017-06,30,149
2017-07,30,155
2017-08,30,197
2017-09,29,344
2017-10,29,242
2017-11,28,48
2017-12,26,10
2018-01,27,9
2018-02,28,29
2018-03,30,30
2018-04,31,65
2018-05,30,220
2018-06,30,149
2018-07,30,155
2018-08,30,197
2018-09,29,344
2018-10,29,242
2018-11,28,48
2018-12,26,10
2019-01,27,9
2019-02,28,29
2019-03,30,30
2019-04,31,65
2019-05,30,220
2019-06,30,149
2019-07,30,155
2019-08,30,197
2019-09,29,344
2019-10,29,242
2019-11,28,48
2019-12,26,10
2020-01,27,9
2020-02,28,29
2020-03,30,30
2020-04,31,65
2020-05,30,220
2020-06,30,149
2020-07,30,155
2020-08,30,197
2020-09,29,344
2020-10,29,242
2020-11,28,48
2020-12,26,10
2021-01,27,9
2021-02,28,29
2021-03,30,30
2021-04,31,65
2021-05,30,220
2021-06,30,149
2021-07,30,155
2021-08,30,197
2021-09,29,344
2021-10,29,242
2021-11,28,48
2021-12,26,10
2022-01,27,9
2022-02,28,29
2022-03,30,30
2022-04,31,65
2022-05,30,220
2022-06,30,149
2022-07,30,155
2022-08,30,197
2022-09,29,344
2022-10,29,242
2022-11,28,48
2022-12,26,10
